Timestamp (HH-MM-SS),Time (s),TSic AIN0 (°C)
15-07-33,1.1,18.10052841901779
15-07-34,2.1,18.1057970225811
15-07-35,3.1,18.105854392051697
15-07-36,4.1,18.097527474164963
15-07-37,5.1,18.099664747714996
15-07-38,6.1,18.093670785427094
15-07-39,7.1,18.09282422065735
15-07-40,8.1,18.093152582645416
15-07-41,9.2,18.091960549354553
15-07-42,10.2,18.084447026252747
15-07-43,11.2,18.08410155773163
15-07-44,12.2,18.07748591899872
15-07-45,13.2,18.07152658700943
15-07-46,14.2,18.072839200496674
15-07-47,15.2,18.07256257534027
15-07-48,16.2,18.07353013753891
15-07-49,17.2,18.0726318359375
15-07-50,18.2,18.0707146525383
15-07-51,19.2,18.063477337360382
15-07-52,20.3,18.056533753871918
15-07-53,21.3,18.056723594665527
15-07-54,22.3,18.057121217250824
15-07-55,23.3,18.057535529136658
15-07-56,24.3,18.05710369348526
15-07-57,25.3,18.057570159435272
15-07-58,26.3,18.049607276916504
15-07-59,27.3,18.042766749858856
15-08-00,28.3,18.037205040454865
15-08-01,29.3,18.036445260047913
15-08-02,30.3,18.036306738853455
15-08-03,31.3,18.03627210855484
15-08-04,32.4,18.037205040454865
15-08-05,33.4,18.02920752763748
15-08-06,34.4,18.03050261735916
15-08-07,35.4,18.022557258605957
15-08-08,36.4,18.01531994342804
15-08-09,37.4,18.00644165277481
15-08-10,38.4,18.006942331790924
15-08-11,39.4,17.99954980611801
15-08-12,40.4,18.000465214252472
15-08-13,41.4,17.99664795398712
15-08-14,42.5,17.99637132883072
15-08-15,43.5,17.995404183864594
15-08-16,44.5,17.988131821155548
15-08-17,45.5,17.98132634162903
15-08-18,46.5,17.978130757808685
15-08-19,47.5,17.971981585025787
15-08-20,48.5,17.965607941150665
15-08-21,49.5,17.965936303138733
15-08-22,50.5,17.964882373809814
15-08-23,51.5,17.96476137638092
15-08-24,52.5,17.95714396238327
15-08-25,53.6,17.956953704357147
15-08-26,54.6,17.95469105243683
15-08-27,55.6,17.949094712734222
15-08-28,56.6,17.942617177963257
15-08-29,57.6,17.94399905204773
15-08-30,58.6,17.936589002609253
15-08-31,59.6,17.93168318271637
15-08-32,60.6,17.93152755498886
15-08-33,61.6,17.931890547275543
15-08-34,62.7,17.93130350112915
15-08-35,63.7,17.931147873401642
15-08-36,64.7,17.930871665477753
15-08-37,65.7,17.92966252565384
15-08-38,66.7,17.922649681568146
15-08-39,67.7,17.92304688692093
15-08-40,68.7,17.916586875915527
15-08-41,69.7,17.909781396389008
15-08-42,70.7,17.903649747371674
15-08-43,71.7,17.903200387954712
15-08-44,72.8,17.89622175693512
15-08-45,73.8,17.889019072055817
15-08-46,74.8,17.88273137807846
15-08-47,75.8,17.876582205295563
15-08-48,76.8,17.869845986366272
15-08-49,77.8,17.86146879196167
15-08-50,78.8,17.86202120780945
15-08-51,79.8,17.862055838108063
15-08-52,80.8,17.861243903636932
15-08-53,81.8,17.86060470342636
15-08-54,82.9,17.854559004306793
15-08-56,83.9,17.847408056259155
15-08-57,84.9,17.839790642261505
15-08-58,85.9,17.833710312843323
15-08-59,86.9,17.827647507190704
15-09-00,87.9,17.82842481136322
15-09-01,88.9,17.829081118106842
15-09-02,89.9,17.829011857509613
15-09-03,91.0,17.828131079673767
15-09-04,92.0,17.829063594341278
15-09-05,93.0,17.827595353126526
15-09-06,94.0,17.826351583003998
15-09-07,95.0,17.82671457529068
15-09-08,96.0,17.818889796733856
15-09-09,97.0,17.81173884868622
15-09-10,98.1,17.805295944213867
15-09-11,99.1,17.79885345697403
15-09-12,100.1,17.792099714279175
15-09-13,101.1,17.792099714279175
15-09-14,102.1,17.79199582338333
15-09-15,103.1,17.793101489543915
