Timestamp (HH-MM-SS),Time (s),TSic AIN0 (°C)
16-54-18,1.1,18.069955706596375
16-54-19,2.1,18.066630363464355
16-54-20,3.1,18.065896034240723
16-54-21,4.1,18.06643582880497
16-54-22,5.1,18.073548078536987
16-54-23,6.1,18.07800168792407
16-54-24,7.1,18.076099455356598
16-54-25,8.1,18.074651136994362
16-54-26,9.1,18.077833520041573
16-54-27,10.1,18.080672949552536
16-54-28,11.2,18.082737055691805
16-54-29,12.2,18.084471573432285
16-54-30,13.2,18.08600567854368
16-54-31,14.2,18.086623549461365
16-54-32,15.2,18.08510347207387
16-54-33,16.2,18.087441086769104
16-54-34,17.2,18.090112626552582
16-54-35,18.2,18.092605729897816
16-54-36,19.2,18.094695786635082
16-54-37,20.2,18.094540297985077
16-54-38,21.3,18.09420637289683
16-54-39,22.3,18.096394340197246
16-54-40,23.3,18.098789672056835
16-54-41,24.3,18.098691761493683
16-54-42,25.3,18.098115980625153
16-54-43,26.3,18.09765535593033
16-54-44,27.3,18.097021996974945
16-54-45,28.3,18.096642037232716
16-54-46,29.3,18.0966880718867
16-54-47,30.3,18.098835706710815
16-54-48,31.3,18.098565061887104
16-54-49,32.3,18.098156313101452
16-54-50,33.4,18.100597540537517
16-54-51,34.4,18.10058029492696
16-54-52,35.4,18.102848788102467
16-54-53,36.4,18.10349355141322
16-54-54,37.4,18.103746950626373
16-54-55,38.4,18.103435973326366
16-54-56,39.4,18.103303571542103
16-54-57,40.4,18.10317701101303
16-54-58,41.4,18.10330941279729
16-54-59,42.4,18.10329786936442
16-55-01,43.5,18.103378395239513
16-55-02,44.5,18.103395640850067
16-55-03,45.5,18.10614214340846
16-55-04,46.5,18.10834151506424
16-55-05,47.5,18.110892196496327
16-55-06,48.5,18.110869248708088
16-55-07,49.5,18.113281687100727
16-55-08,50.5,18.113408386707306
16-55-09,51.5,18.11519330739975
16-55-10,52.5,18.117461800575256
16-55-11,53.6,18.120812733968098
16-55-12,54.6,18.123432397842407
16-55-13,55.6,18.125562647978466
16-55-14,56.6,18.12792334953944
16-55-15,57.6,18.130393505096436
16-55-16,58.6,18.132523894309998
16-55-17,59.6,18.135132153828938
16-55-18,60.6,18.134832719961803
16-55-19,61.6,18.135114908218384
16-55-20,62.6,18.135322133700054
16-55-21,63.6,18.135063032309215
16-55-22,64.7,18.134838422139484
16-55-23,65.7,18.135224223136902
16-55-24,66.7,18.135869125525158
16-55-25,67.7,18.135892073313396
16-55-26,68.7,18.1350284020106
16-55-27,69.7,18.13486721118291
16-55-28,70.7,18.135402659575146
16-55-29,71.7,18.13551781574885
16-55-30,72.7,18.13567316532135
16-55-31,73.7,18.135684708754223
16-55-32,74.8,18.135511974493664
16-55-33,75.8,18.13563283284505
16-55-34,76.8,18.135039806365967
16-55-35,77.8,18.135172208150227
16-55-36,78.8,18.135465800762177
16-55-37,79.8,18.135863145192463
16-55-38,80.8,18.13575369119644
16-55-39,81.8,18.135367890199024
16-55-40,82.8,18.135039806365967
16-55-41,83.8,18.13529320557912
16-55-42,84.8,18.13563867410024
16-55-43,85.9,18.13548332452774
16-55-44,86.9,18.135500570138294
16-55-45,87.9,18.135379711786907
16-55-46,88.9,18.135644515355427
16-55-47,89.9,18.135869125525158
16-55-48,90.9,18.13611098130544
16-55-49,91.9,18.136191646258037
16-55-50,92.9,18.13578289747238
16-55-51,93.9,18.135437428951263
16-55-52,94.9,18.135385553042095
16-55-53,96.0,18.132489403088886
16-55-54,97.0,18.130117297172546
16-55-55,98.0,18.12995610634486
16-55-56,99.0,18.130036771297455
16-55-57,100.0,18.129841089248657
16-55-58,101.0,18.13003106911977
16-55-59,102.0,18.130002280076344
16-56-00,103.0,18.13000798225403
16-56-01,104.0,18.12974888086319
16-56-02,105.0,18.129852493604023
16-56-03,106.0,18.129558900992077
16-56-04,107.1,18.130278488000233
16-56-05,108.1,18.13038780291875
16-56-06,109.1,18.13046262661616
16-56-07,110.1,18.13025540113449
16-56-08,111.1,18.133019149303436
16-56-09,112.1,18.132403035958607
16-56-10,113.1,18.13280024131139
16-56-11,114.1,18.132696489493053
16-56-12,115.1,18.132373968760174
16-56-13,116.1,18.132281760374706
16-56-14,117.1,18.1321262717247
16-56-15,118.2,18.132420003414154
16-56-16,119.2,18.13264461358388
16-56-17,120.2,18.132592737674713
16-56-18,121.2,18.13269050916036
16-56-19,122.2,18.13217814763387
16-56-20,123.2,18.132212777932484
16-56-21,124.2,18.13232793410619
16-56-22,125.2,18.132172445456188
16-56-23,126.2,18.131901800632477
16-56-24,127.2,18.13488431771596
16-56-25,128.2,18.134890019893646
16-56-26,129.2,18.134786407152813
16-56-27,130.3,18.132477581501007
16-56-28,131.3,18.132592737674713
16-56-29,132.3,18.132667700449627
16-56-30,133.3,18.13251221179962
16-56-31,134.3,18.132333636283875
16-56-32,135.3,18.131136039892834
16-56-33,136.3,18.131199459234875
16-56-34,137.3,18.13136065006256
16-56-35,138.3,18.128550867239635
16-56-36,139.3,18.12834934393565
16-56-37,140.3,18.126213252544403
16-56-38,141.3,18.126299619674683
16-56-39,142.4,18.12378927071889
16-56-40,143.4,18.121428708235424
16-56-41,144.4,18.121428708235424
16-56-42,145.4,18.124169369538624
16-56-43,146.4,18.121388514836628
16-56-44,147.4,18.121071835358936
16-56-45,148.4,18.121233026186626
16-56-46,149.4,18.118665099143982
16-56-47,150.4,18.11989148457845
16-56-48,151.4,18.11987994114558
16-56-49,152.4,18.11707015832265
16-56-50,153.4,18.11719685792923
16-56-51,154.4,18.114865084489185
16-56-53,155.5,18.114893873532612
16-56-54,156.5,18.11241231362025
16-56-55,157.5,18.112302859624226
16-56-56,158.5,18.112043758233387
16-56-57,159.5,18.109257062276203
16-56-58,160.5,18.106343666712444
16-56-59,161.5,18.10659122467041
16-57-00,162.5,18.10448392232259
16-57-01,163.5,18.102342128753662
16-57-02,164.5,18.102716386318207
16-57-03,165.5,18.10013121366501
16-57-04,166.6,18.097574830055237
16-57-05,167.6,18.09771877527237
16-57-06,168.6,18.097517251968384
16-57-07,169.6,18.097828090190887
16-57-08,170.6,18.09768984715144
16-57-09,171.6,18.100131074587505
16-57-10,172.6,18.100562910238903
16-57-11,173.6,18.1009947458903
16-57-12,174.6,18.101109902064007
16-57-13,175.6,18.10113298892975
16-57-14,176.6,18.10114453236262
16-57-15,177.7,18.101098358631134
16-57-16,178.7,18.100747048854828
16-57-17,179.7,18.100695312023163
16-57-18,180.7,18.100626190503437
16-57-19,181.7,18.10058585802714
16-57-20,182.7,18.09835769732793
16-57-21,183.7,18.09839802980423
16-57-22,184.7,18.097620725631714
16-57-23,185.7,18.095311899979908
16-57-24,186.7,18.092836181322735
16-57-25,187.7,18.092248857021332
16-57-26,188.7,18.092133700847626
16-57-27,189.8,18.0921452442805
16-57-28,190.8,18.08972696463267
16-57-29,191.8,18.089565634727478
16-57-30,192.8,18.086963216463726
16-57-31,193.8,18.086778938770294
16-57-32,194.8,18.087164600690205
16-57-33,195.8,18.087550401687622
16-57-34,196.8,18.085011263688404
16-57-35,197.8,18.084913353125255
16-57-36,198.8,18.08273108800252
16-57-37,199.8,18.08092321952184
16-57-38,200.8,18.080848395824432
16-57-39,201.9,18.078689217567444
16-57-40,202.9,18.076340059439342
16-57-41,203.9,18.07372595866521
16-57-42,204.9,18.07163006067276
16-57-43,205.9,18.071917951107025
16-57-44,206.9,18.069741527239483
16-57-45,207.9,18.070040961106617
16-57-46,208.9,18.067795554796856
16-57-47,209.9,18.064680635929108
16-57-48,211.0,18.06205513079961
16-57-49,212.0,18.06243509054184
16-57-50,213.0,18.062204778194427
16-57-51,214.0,18.062193234761555
16-57-52,215.0,18.06168657541275
16-57-53,216.0,18.061669329802196
16-57-54,217.0,18.061462104320526
16-57-55,218.0,18.06169241666794
16-57-56,219.0,18.06184220314026
16-57-57,220.0,18.061704099178314
16-57-58,221.0,18.06143929560979
16-57-59,222.1,18.061341524124146
16-58-00,223.1,18.061416347821552
16-58-01,224.1,18.061376015345257
16-58-02,225.1,18.061301191647846
16-58-03,226.1,18.06135292847951
16-58-04,227.1,18.061560293038685
16-58-05,228.1,18.061807850996654
16-58-06,229.1,18.062032461166382
16-58-07,230.1,18.061992128690083
16-58-08,231.1,18.06184818347295
16-58-09,232.1,18.059504727522533
16-58-10,233.1,18.059527814388275
16-58-11,234.2,18.05941265821457
16-58-12,235.2,18.059723496437073
16-58-13,236.2,18.059844354788464
16-58-14,237.2,18.05989609162013
16-58-15,238.2,18.05972335735957
16-58-16,239.2,18.05980388323466
16-58-17,240.2,18.058070838451385
16-58-18,241.2,18.05545687675476
16-58-19,242.2,18.052629848321278
16-58-20,243.2,18.05025190114975
16-58-21,244.2,18.04775309562683
16-58-22,245.3,18.045553584893543
16-58-23,246.3,18.043308039506275
16-58-24,247.3,18.04342903693517
16-58-25,248.3,18.04086110989253
16-58-26,249.3,18.03862140576045
16-58-27,250.3,18.035926918188732
16-58-28,251.3,18.033664127190907
16-58-29,252.3,18.031401336193085
16-58-30,253.3,18.029138545195263
16-58-31,254.3,18.026858508586884
16-58-32,255.4,18.026812473932903
16-58-33,256.4,18.026749193668365
16-58-34,257.4,18.026812473932903
16-58-35,258.4,18.026708861192066
16-58-36,259.4,18.026409427324932
16-58-37,260.4,18.02658800284068
16-58-38,261.4,18.026409566402435
16-58-39,262.4,18.026092886924744
16-58-40,263.4,18.026087045669556
16-58-41,264.4,18.02605825662613
16-58-42,265.4,18.025983293851215
16-58-43,266.4,18.02578177054723
16-58-45,267.5,18.02344999710719
16-58-46,268.5,18.021031717459362
16-58-47,269.5,18.02108359336853
16-58-48,270.5,18.02068054676056
16-58-49,271.5,18.02112392584483
16-58-50,272.5,18.021198749542236
16-58-51,273.5,18.019068360328674
16-58-52,274.5,18.016799867153168
16-58-53,275.5,18.01658109823863
16-58-54,276.5,18.0141628185908
16-58-55,277.6,18.012055377165478
16-58-56,278.6,18.009671727816265
16-58-57,279.6,18.007218817869823
16-58-58,280.6,18.00479483604431
16-58-59,281.6,18.002140541871388
16-59-00,282.6,18.002192278703053
16-59-01,283.6,18.00222106774648
16-59-02,284.6,17.999762455622356
16-59-03,285.6,17.997891167799633
16-59-04,286.6,17.995386521021526
16-59-05,287.6,17.993100782235462
16-59-06,288.7,17.993296603361767
16-59-07,289.7,17.99357295036316
16-59-08,290.7,17.991661330064137
16-59-09,291.7,17.992041289806366
16-59-10,292.7,17.99219677845637
16-59-11,293.7,17.992265899976093
16-59-12,294.7,17.992726524670918
16-59-13,295.7,17.992939591407776
16-59-14,296.7,17.99331384897232
16-59-15,297.7,17.990918656190235
16-59-16,298.7,17.98855225245158
16-59-17,299.8,17.98829899231593
16-59-18,300.8,17.988103171189625
16-59-19,301.8,17.987924595673878
16-59-20,302.8,17.985270301500957
16-59-21,303.8,17.982656339804333
16-59-22,304.8,17.980261147022247
16-59-23,305.8,17.977975408236187
16-59-24,306.8,17.977981249491375
16-59-25,307.8,17.977658867836
16-59-26,308.8,17.975637932618458
16-59-27,309.8,17.97274762392044
16-59-28,310.9,17.972695748011272
16-59-29,311.9,17.970375378926594
16-59-30,312.9,17.970214188098907
16-59-31,313.9,17.969920595486958
16-59-32,314.9,17.967594524224598
16-59-33,315.9,17.965360661347706
16-59-34,316.9,17.963074922561646
16-59-35,317.9,17.96302874883016
16-59-36,318.9,17.96292499701182
16-59-37,319.9,17.962896207968395
16-59-38,321.0,17.96291345357895
16-59-39,322.0,17.960541208585102
16-59-40,323.0,17.95824392636617
16-59-41,324.0,17.95810568332672
16-59-42,325.0,17.958076894283295
16-59-43,326.0,17.955750823020935
16-59-44,327.0,17.95334408680598
16-59-45,328.1,17.953372875849407
16-59-46,329.1,17.95347648859024
16-59-47,330.1,17.951397836208344
16-59-48,331.1,17.94884131352107
16-59-49,332.1,17.948818226655323
16-59-50,333.1,17.946716765562694
16-59-51,334.1,17.94427553812663
16-59-52,335.1,17.942173937956493
16-59-53,336.1,17.939801692962646
16-59-54,337.2,17.937636812527973
16-59-55,338.2,17.935425758361816
16-59-56,339.2,17.933036267757416
16-59-57,340.2,17.930779178937275
16-59-58,341.2,17.928620000680286
16-59-59,342.2,17.92851068576177
17-00-00,343.2,17.9263054728508
17-00-01,344.2,17.924699127674103
17-00-02,345.2,17.924630145231884
17-00-03,346.3,17.924503445625305
17-00-04,347.3,17.922177374362946
17-00-05,348.3,17.922137041886646
17-00-06,349.3,17.920311788717907
17-00-07,350.3,17.920213878154755
17-00-08,351.3,17.920127511024475
17-00-09,352.3,17.92009872198105
17-00-10,353.4,17.920029600461323
17-00-11,354.4,17.92023112376531
17-00-12,355.4,17.920513312021892
17-00-13,356.4,17.92020817597707
17-00-14,357.4,17.918146908283234
17-00-15,358.4,17.91787056128184
17-00-16,359.4,17.917461673418682
17-00-18,360.5,17.915285249551136
17-00-19,361.5,17.91525075833003
17-00-20,362.5,17.91544657945633
17-00-21,363.5,17.91566534837087
17-00-22,364.5,17.917853315671284
17-00-23,365.5,17.91527968645096
17-00-24,366.5,17.912878791491192
17-00-25,367.5,17.910000026226044
17-00-26,368.5,17.907524307568867
17-00-27,369.5,17.9051637450854
17-00-28,370.6,17.903021812438965
17-00-29,371.6,17.903511226177216
17-00-30,372.6,17.903666575749714
17-00-31,373.6,17.901288628578186
17-00-32,374.6,17.89880706866582
17-00-33,375.6,17.898951013882954
17-00-34,376.6,17.896665275096893
17-00-35,377.6,17.89442543188731
17-00-36,378.7,17.892018695672352
17-00-37,379.7,17.889560222625732
17-00-38,380.7,17.887337764104206
17-00-39,381.7,17.887337764104206
17-00-40,382.7,17.88771202166875
17-00-41,383.7,17.887878914674122
17-00-42,384.7,17.887717723846436
17-00-43,385.8,17.88523046175639
17-00-44,386.8,17.880336463451385
17-00-45,387.8,17.877791623274486
17-00-46,388.8,17.878160178661346
17-00-47,389.8,17.875816861788433
17-00-48,390.8,17.875407973925274
17-00-49,391.8,17.873271743456524
17-00-50,392.8,17.870548327763874
17-00-51,393.8,17.87032385667165
17-00-52,394.9,17.87021440267563
17-00-53,395.9,17.87040438254674
17-00-54,396.9,17.870456119378407
17-00-55,397.9,17.86833143234253
17-00-56,398.9,17.865947782993317
17-00-57,399.9,17.863742570082348
17-00-58,400.9,17.86366190512975
17-00-59,402.0,17.86393254995346
17-01-00,403.0,17.863874971866608
17-01-01,404.0,17.86147964000702
17-01-02,405.0,17.861669619878132
17-01-03,406.0,17.85966593027115
17-01-04,407.0,17.859712104002636
17-01-05,408.0,17.859948257605236
17-01-06,409.0,17.857840816179912
