Timestamp (HH-MM-SS),Time (s),TSic AIN0 (°C)
12-25-02,1.1,17.201807498931885
12-25-03,2.1,17.20232591032982
12-25-04,3.1,17.200901061296463
12-25-05,4.1,17.199864238500595
12-25-06,5.1,17.20016673207283
12-25-07,6.1,17.199087142944336
12-25-08,7.2,17.19917267560959
12-25-09,8.2,17.199864238500595
12-25-10,9.2,17.199864238500595
12-25-11,10.2,17.199259251356125
12-25-12,11.2,17.198482155799866
12-25-13,12.2,17.214330732822418
12-25-14,13.2,17.213985472917557
12-25-15,14.2,17.195632457733154
12-25-16,15.2,17.19511404633522
12-25-17,16.2,17.19861149787903
12-25-18,17.2,17.19874083995819
12-25-19,18.3,17.196581661701202
12-25-20,19.3,17.197877168655396
12-25-21,20.3,17.19930201768875
12-25-22,21.3,17.19796374440193
12-25-23,22.3,17.199864238500595
12-25-24,23.3,17.20016673207283
12-25-25,24.3,17.199518978595734
12-25-26,25.3,17.200598567724228
12-25-27,26.3,17.1992164850235
12-25-28,27.3,17.197143882513046
12-25-29,28.3,17.19615086913109
12-25-30,29.3,17.196754813194275
12-25-31,30.4,17.200252264738083
12-25-32,31.4,17.201893031597137
12-25-33,32.4,17.198827415704727
12-25-34,33.4,17.197143882513046
12-25-35,34.4,17.195848375558853
12-25-36,35.4,17.198827415704727
12-25-37,36.4,17.200554758310318
12-25-38,37.4,17.199087142944336
12-25-39,38.4,17.197705060243607
12-25-40,39.5,17.197143882513046
12-25-41,40.5,17.198699116706848
12-25-42,41.5,17.2007717192173
12-25-43,42.5,17.202067226171494
12-25-44,43.5,17.200642377138138
12-25-45,44.5,17.2005558013916
12-25-46,45.5,17.197575718164444
12-25-47,46.5,17.198352813720703
12-25-48,47.5,17.20176473259926
12-25-49,48.5,17.20038264989853
12-25-50,49.5,17.20012292265892
12-25-51,50.5,17.200296074151993
12-25-52,51.6,17.199908047914505
12-25-53,52.6,17.200987637043
12-25-54,53.6,17.198180705308914
12-25-55,54.6,17.197143882513046
12-25-56,55.6,17.1987846493721
12-25-57,56.6,17.19822347164154
12-25-58,57.6,17.200857251882553
12-25-59,58.6,17.202541828155518
12-26-00,59.6,17.202801555395126
12-26-01,60.7,17.200858294963837
12-26-02,61.7,17.197575718164444
12-26-03,62.7,17.19977766275406
12-26-04,63.7,17.2042253613472
12-26-05,64.7,17.202239334583282
12-26-06,65.7,17.215799391269684
12-26-07,66.7,17.21644714474678
12-26-08,67.7,17.20051199197769
12-26-09,68.7,17.197920978069305
12-26-10,69.7,17.19537377357483
12-26-11,70.8,17.19532996416092
12-26-12,71.8,17.197877168655396
12-26-13,72.8,17.198524922132492
12-26-14,73.8,17.19567522406578
12-26-15,74.8,17.197014540433884
12-26-16,75.8,17.19688519835472
12-26-17,76.8,17.19882845878601
12-26-18,77.8,17.200469225645065
12-26-19,78.8,17.19995081424713
12-26-21,79.8,17.198913991451263
12-26-22,80.8,17.198913991451263
12-26-23,81.9,17.197964787483215
12-26-24,82.9,17.195977717638016
12-26-25,83.9,17.20340445637703
12-26-26,84.9,17.20513179898262
12-26-27,85.9,17.201375663280487
12-26-28,86.9,17.199648320674896
12-26-29,87.9,17.19735875725746
12-26-30,88.9,17.197100073099136
12-26-31,89.9,17.198136895895004
12-26-32,90.9,17.198525965213776
12-26-33,91.9,17.19848319888115
12-26-34,93.0,17.19675585627556
12-26-35,94.0,17.19744637608528
12-26-36,95.0,17.199303060770035
12-26-37,96.0,17.199692130088806
12-26-38,97.0,17.2180013358593
12-26-39,98.0,17.217223197221756
12-26-40,99.0,17.200986593961716
12-26-41,100.0,17.20072790980339
12-26-42,101.0,17.19861149787903
