Timestamp (HH-MM-SS),Time (s),TSic AIN0 (°C)
13-37-33,1.1,16.756073832511902
13-37-34,2.1,16.757456958293915
13-37-35,3.1,16.755641996860504
13-37-36,4.1,16.756246984004974
13-37-37,5.1,16.72524243593216
13-37-38,6.1,16.720492243766785
13-37-39,7.2,16.722651422023773
13-37-40,8.2,16.71781361103058
13-37-41,9.2,16.722736954689026
13-37-42,10.2,16.723773777484894
13-37-43,11.2,16.724378764629364
13-37-44,12.2,16.721097230911255
13-37-45,13.2,16.722046434879303
13-37-46,14.2,16.72360062599182
13-37-47,15.3,16.719714105129242
13-37-48,16.3,16.68439120054245
13-37-49,17.3,16.723256409168243
13-37-50,18.3,16.704341173171997
13-37-51,19.3,16.719972789287567
13-37-52,20.3,16.686204075813293
13-37-53,21.3,16.721529066562653
13-37-54,22.4,16.71919673681259
13-37-55,23.4,16.720404624938965
13-37-56,24.4,16.69052243232727
13-37-57,25.4,16.725501120090485
13-37-58,26.4,16.71962857246399
13-37-59,27.4,16.68551355600357
13-38-00,28.4,16.688536405563354
13-38-01,29.4,16.71980172395706
13-38-02,30.4,16.720577776432037
13-38-03,31.4,16.68663591146469
13-38-04,32.4,16.685167253017426
13-38-05,33.5,16.68940007686615
13-38-06,34.5,16.690090596675873
13-38-07,35.5,16.689831912517548
13-38-08,36.5,16.72420561313629
13-38-09,37.5,16.687931418418884
13-38-10,38.5,16.68827772140503
13-38-11,39.5,16.68724089860916
13-38-12,40.5,16.687414050102234
13-38-13,41.5,16.68430358171463
13-38-14,42.5,16.689485609531403
13-38-15,43.5,16.686809062957764
13-38-16,44.6,16.686204075813293
13-38-17,45.6,16.685686707496643
13-38-18,46.6,16.686982214450836
13-38-19,47.6,16.690436899662018
13-38-20,48.6,16.652781665325165
13-38-21,49.6,16.652003526687622
13-38-22,50.6,16.652608513832092
13-38-23,51.6,16.6888827085495
13-38-24,52.6,16.651054322719574
13-38-25,53.6,16.6508811712265
13-38-26,54.7,16.6558900475502
13-38-28,55.7,16.683354377746582
13-38-29,56.7,16.653904020786285
13-38-30,57.7,16.64958566427231
13-38-31,58.7,16.65364533662796
13-38-32,59.7,16.65252298116684
13-38-33,60.7,16.6558900475502
13-38-34,61.7,16.653299033641815
13-38-35,62.7,16.655631363391876
13-38-36,63.8,16.653125882148743
13-38-37,64.8,16.647599637508392
13-38-38,65.8,16.65304034948349
13-38-39,66.8,16.65019065141678
13-38-40,67.8,16.65355771780014
13-38-41,68.8,16.65148615837097
13-38-42,69.8,16.65252298116684
13-38-43,70.8,16.652867197990417
13-38-44,71.8,16.65148615837097
13-38-45,72.8,16.61901295185089
13-38-46,73.9,16.649412512779236
13-38-47,74.9,16.647340953350067
13-38-48,75.9,16.612535417079926
13-38-49,76.9,16.650966703891754
13-38-50,77.9,16.65243536233902
13-38-51,78.9,16.651054322719574
13-38-52,79.9,16.653386652469635
13-38-53,80.9,16.65425032377243
13-38-54,81.9,16.61901295185089
13-38-55,82.9,16.61892533302307
13-38-56,84.0,16.616248786449432
13-38-57,85.0,16.616421937942505
13-38-58,86.0,16.619876623153687
13-38-59,87.0,16.617888510227203
13-39-00,88.0,16.617976129055023
13-39-01,89.0,16.620047688484192
13-39-02,90.0,16.617888510227203
13-39-03,91.0,16.61668062210083
13-39-04,92.0,16.615902483463287
13-39-05,93.0,16.622553169727325
13-39-06,94.0,16.616248786449432
13-39-07,95.1,16.616507470607758
13-39-08,96.1,16.61780297756195
13-39-09,97.1,16.612447798252106
13-39-10,98.1,16.619876623153687
13-39-11,99.1,16.615385115146637
13-39-12,100.1,16.61719799041748
13-39-13,101.1,16.620652675628662
13-39-14,102.1,16.61823481321335
13-39-15,103.1,16.619098484516144
13-39-16,104.2,16.622380018234253
13-39-17,105.2,16.61719799041748
13-39-18,106.2,16.619789004325867
13-39-19,107.2,16.620047688484192
13-39-20,108.2,16.585761606693268
13-39-21,109.2,16.58688396215439
13-39-22,110.2,16.619098484516144
13-39-23,111.2,16.61944478750229
13-39-24,112.2,16.62047952413559
13-39-25,113.2,16.616507470607758
13-39-26,114.3,16.582306921482086
13-39-27,115.3,16.58481240272522
13-39-28,116.3,16.586107909679413
13-39-29,117.3,16.586278975009918
13-39-30,118.3,16.584551632404327
13-39-31,119.4,16.620308458805084
13-39-32,120.4,16.59690171480179
13-39-33,121.4,16.586193442344666
13-39-34,122.4,16.58481240272522
13-39-35,123.4,16.582738757133484
13-39-36,124.4,16.617371141910553
13-39-37,125.4,16.588696837425232
13-39-38,126.4,16.583775579929352
13-39-39,127.4,16.62013530731201
13-39-40,128.4,16.59094363451004
13-39-41,129.5,16.62117213010788
13-39-42,130.5,16.5797159075737
13-39-43,131.5,16.583948731422424
13-39-44,132.5,16.582824289798737
13-39-45,133.5,16.58144325017929
