Timestamp (HH-MM-SS),Time (s),TSic AIN0 (°C)
15-13-12,1.1,16.71646386384964
15-13-13,2.1,16.71646386384964
15-13-14,3.1,16.720331609249115
15-13-15,4.1,16.725302934646606
15-13-16,5.1,16.71149253845215
15-13-17,6.1,16.70872837305069
15-13-18,7.1,16.71867311000824
15-13-19,8.1,16.715358197689056
15-13-20,9.1,16.71867311000824
15-13-21,10.2,16.717569530010223
15-13-22,11.2,16.710939705371857
15-13-23,12.2,16.71370178461075
15-13-24,13.2,16.713148951530457
15-13-25,14.2,16.71701669692993
15-13-26,15.2,16.712043285369873
15-13-27,16.2,16.712596118450165
15-13-28,17.2,16.712596118450165
15-13-29,18.2,16.72143518924713
15-13-30,19.2,16.714805364608765
15-13-31,20.3,16.71646386384964
15-13-32,21.3,16.720331609249115
15-13-33,22.3,16.719778776168823
15-13-34,23.3,16.721988022327423
15-13-35,24.3,16.71646386384964
15-13-36,25.4,16.724197268486023
15-13-38,26.4,16.74353390932083
15-13-39,27.4,16.754582226276398
15-13-40,28.4,16.717569530010223
15-13-41,29.4,16.720331609249115
15-13-42,30.4,16.744639575481415
15-13-43,31.4,16.749610900878906
15-13-44,32.4,16.72143518924713
15-13-45,33.4,16.756240725517273
15-13-46,34.4,16.715358197689056
15-13-47,35.4,16.749610900878906
15-13-48,36.4,16.756793558597565
15-13-49,37.4,16.75071656703949
15-13-50,38.4,16.754031479358673
15-13-51,39.5,16.74132466316223
15-13-52,40.5,16.746848821640015
15-13-53,41.5,16.74519032239914
15-13-54,42.5,16.746848821640015
15-13-55,43.5,16.744639575481415
15-13-56,44.5,16.710939705371857
15-13-57,45.5,16.760108470916748
15-13-58,46.5,16.75568789243698
15-13-59,47.5,16.717569530010223
15-14-00,48.5,16.749610900878906
15-14-01,49.5,16.760659217834473
15-14-02,50.5,16.74353390932083
15-14-03,51.6,16.751820147037506
15-14-04,52.6,16.750163733959198
15-14-05,53.6,16.74519032239914
15-14-06,54.6,16.749058067798615
15-14-07,55.6,16.744086742401123
15-14-08,56.6,16.744086742401123
15-14-09,57.6,16.754582226276398
15-14-10,58.6,16.75071656703949
15-14-11,59.6,16.756240725517273
15-14-12,60.6,16.75513505935669
15-14-13,61.6,16.751267313957214
15-14-14,62.6,16.75292581319809
15-14-15,63.7,16.746295988559723
15-14-16,64.7,16.751820147037506
15-14-17,65.7,16.754031479358673
15-14-18,66.7,16.75347864627838
15-14-19,67.7,16.747401654720306
15-14-20,68.7,16.751267313957214
15-14-21,69.7,16.754582226276398
15-14-22,70.7,16.75347864627838
15-14-23,71.7,16.749610900878906
15-14-24,72.7,16.75292581319809
15-14-25,73.7,16.75347864627838
15-14-26,74.7,16.786625683307648
15-14-27,75.7,16.749610900878906
15-14-28,76.8,16.749610900878906
15-14-29,77.8,16.781654357910156
15-14-30,78.8,16.75513505935669
15-14-31,79.8,16.749058067798615
15-14-32,80.8,16.746848821640015
15-14-33,81.8,16.747401654720306
15-14-34,82.8,16.747401654720306
15-14-35,83.8,16.754031479358673
15-14-36,84.8,16.786072850227356
15-14-37,85.8,16.75071656703949
15-14-38,86.8,16.752372980117798
15-14-39,87.8,16.75513505935669
15-14-40,88.9,16.75071656703949
15-14-41,89.9,16.740218997001648
15-14-42,90.9,16.75789713859558
15-14-43,91.9,16.758449971675873
15-14-44,92.9,16.747401654720306
15-14-45,93.9,16.75568789243698
15-14-46,94.9,16.75347864627838
