Timestamp (HH-MM-SS),Time (s),TSic AIN0 (°C)
12-23-31,1.1,16.60928726196289
12-23-32,2.1,16.6087344288826
12-23-33,3.1,16.610392928123474
12-23-34,4.1,16.613707840442657
12-23-35,5.1,16.610392928123474
12-23-36,6.1,16.614811420440674
12-23-37,7.1,16.612049341201782
12-23-38,8.1,16.576693058013916
12-23-39,9.2,16.614811420440674
12-23-40,10.2,16.609840095043182
12-23-41,11.2,16.571719646453857
12-23-42,12.2,16.6109436750412
12-23-43,13.2,16.583873629570007
12-23-44,14.2,16.56785398721695
12-23-45,15.2,16.581664383411407
12-23-46,16.2,16.571166813373566
12-23-47,17.2,16.5800079703331
12-23-48,18.2,16.61149650812149
12-23-49,19.2,16.614258587360382
12-23-50,20.2,16.612602174282074
12-23-51,21.3,16.615364253520966
12-23-52,22.3,16.6087344288826
12-23-53,23.3,16.6087344288826
12-23-54,24.3,16.614811420440674
12-23-55,25.3,16.651826202869415
12-23-56,26.3,16.646854877471924
12-23-57,27.3,16.646854877471924
12-23-58,28.3,16.651273369789124
12-23-59,29.3,16.64795845746994
12-24-00,30.3,16.639672219753265
12-24-01,31.3,16.674477756023407
12-24-02,32.3,16.68221116065979
12-24-03,33.3,16.675581336021423
12-24-04,34.4,16.71701669692993
12-24-05,35.4,16.68718248605728
12-24-06,36.4,16.676134169101715
12-24-07,37.4,16.712043285369873
12-24-08,38.4,16.715911030769348
12-24-09,39.4,16.71646386384964
12-24-10,40.4,16.72917068004608
12-24-11,41.4,16.717569530010223
12-24-12,42.4,16.720331609249115
12-24-13,43.4,16.71646386384964
12-24-14,44.4,16.71701669692993
12-24-15,45.5,16.749058067798615
12-24-16,46.5,16.715358197689056
12-24-17,47.5,16.717569530010223
12-24-18,48.5,16.71149253845215
12-24-19,49.5,16.749610900878906
12-24-20,50.5,16.752372980117798
12-24-21,51.5,16.71701669692993
12-24-22,52.5,16.75292581319809
12-24-23,53.5,16.747401654720306
12-24-24,54.5,16.712596118450165
12-24-25,55.5,16.71646386384964
12-24-26,56.5,16.756240725517273
12-24-27,57.5,16.751267313957214
12-24-28,58.5,16.74132466316223
12-24-29,59.6,16.75292581319809
12-24-30,60.6,16.747954487800598
12-24-31,61.6,16.747954487800598
12-24-32,62.6,16.756240725517273
12-24-33,63.6,16.744639575481415
12-24-34,64.6,16.75292581319809
12-24-35,65.6,16.74574315547943
12-24-36,66.6,16.751820147037506
12-24-37,67.6,16.71701669692993
12-24-38,68.6,16.748505234718323
12-24-39,69.6,16.74574315547943
12-24-40,70.6,16.71425461769104
12-24-41,71.6,16.72143518924713
12-24-42,72.7,16.75071656703949
12-24-43,73.7,16.71646386384964
12-24-44,74.7,16.710386872291565
12-24-45,75.7,16.75347864627838
12-24-46,76.7,16.749610900878906
12-24-47,77.7,16.71646386384964
12-24-48,78.7,16.744086742401123
12-24-49,79.7,16.75292581319809
12-24-50,80.7,16.72861784696579
12-24-51,81.8,16.708177626132965
12-24-52,82.8,16.708177626132965
12-24-53,83.8,16.709834039211273
12-24-54,84.8,16.72143518924713
12-24-56,85.8,16.71646386384964
12-24-57,86.8,16.713148951530457
12-24-58,87.8,16.714805364608765
12-24-59,88.8,16.75071656703949
12-25-00,89.8,16.714805364608765
12-25-01,90.8,16.710386872291565
12-25-02,91.8,16.70430988073349
12-25-03,92.8,16.715911030769348
12-25-04,93.8,16.750163733959198
12-25-05,94.9,16.712043285369873
12-25-06,95.9,16.744086742401123
12-25-07,96.9,16.751267313957214
12-25-08,97.9,16.740218997001648
12-25-09,98.9,16.754031479358673
12-25-10,99.9,16.752372980117798
12-25-11,100.9,16.751267313957214
12-25-12,101.9,16.72143518924713
12-25-13,102.9,16.754031479358673
12-25-14,103.9,16.751267313957214
12-25-15,105.0,16.751267313957214
12-25-16,106.0,16.748505234718323
12-25-17,107.0,16.752372980117798
12-25-18,108.0,16.754031479358673
12-25-19,109.0,16.747401654720306
12-25-20,110.0,16.759555637836456
12-25-21,111.0,16.749610900878906
12-25-22,112.0,16.756240725517273
12-25-23,113.0,16.71646386384964
12-25-24,114.0,16.751820147037506
12-25-25,115.0,16.750163733959198
12-25-26,116.0,16.756240725517273
12-25-27,117.0,16.749610900878906
12-25-28,118.0,16.757346391677856
12-25-29,119.1,16.74574315547943
12-25-30,120.1,16.750163733959198
12-25-31,121.1,16.751267313957214
12-25-32,122.1,16.75789713859558
12-25-33,123.1,16.75292581319809
12-25-34,124.1,16.746295988559723
12-25-35,125.1,16.746295988559723
12-25-36,126.1,16.748505234718323
12-25-37,127.1,16.749610900878906
12-25-38,128.1,16.748505234718323
12-25-39,129.1,16.746295988559723
12-25-40,130.1,16.744639575481415
12-25-41,131.1,16.744086742401123
12-25-42,132.1,16.75292581319809
12-25-43,133.2,16.756793558597565
12-25-44,134.2,16.748505234718323
12-25-45,135.2,16.75071656703949
12-25-46,136.2,16.751820147037506
12-25-47,137.2,16.750163733959198
12-25-48,138.2,16.749058067798615
12-25-49,139.2,16.749610900878906
12-25-50,140.2,16.747954487800598
12-25-51,141.2,16.749610900878906
12-25-52,142.2,16.746848821640015
12-25-53,143.2,16.744639575481415
12-25-54,144.2,16.75292581319809
12-25-55,145.3,16.742428243160248
12-25-56,146.3,16.75071656703949
12-25-57,147.3,16.746295988559723
12-25-58,148.3,16.752372980117798
12-25-59,149.3,16.749058067798615
12-26-00,150.3,16.747401654720306
12-26-01,151.3,16.786072850227356
12-26-02,152.3,16.751267313957214
12-26-03,153.3,16.750163733959198
12-26-04,154.3,16.748505234718323
12-26-05,155.3,16.74298107624054
12-26-06,156.3,16.783863604068756
12-26-07,157.4,16.793255507946014
12-26-08,158.4,16.746848821640015
12-26-09,159.4,16.748505234718323
12-26-10,160.4,16.749058067798615
12-26-11,161.4,16.754031479358673
12-26-12,162.4,16.747954487800598
12-26-13,163.4,16.793255507946014
12-26-14,164.4,16.785520017147064
12-26-15,165.4,16.75347864627838
12-26-16,166.4,16.75513505935669
12-26-17,167.4,16.747954487800598
12-26-18,168.5,16.771709620952606
12-26-19,169.5,16.74298107624054
12-26-20,170.5,16.717569530010223
12-26-21,171.5,16.68497323989868
12-26-22,172.5,16.646302044391632
12-26-23,173.5,16.64795845746994
12-26-24,174.5,16.60928726196289
12-26-25,175.5,16.618126332759857
12-26-26,176.5,16.539125442504883
12-26-27,177.5,16.513158977031708
12-26-28,178.5,16.50155782699585
12-26-29,179.5,16.5092933177948
12-26-30,180.6,16.51426464319229
12-26-31,181.6,16.473934948444366
12-26-32,182.6,16.47724986076355
12-26-33,183.6,16.439682245254517
12-26-34,184.6,16.408193707466125
12-26-35,185.6,16.40377312898636
12-26-36,186.6,16.376703083515167
12-26-37,187.6,16.336373388767242
12-26-38,188.6,16.347423791885376
12-26-39,189.6,16.332507729530334
12-26-40,190.7,16.334716975688934
12-26-41,191.7,16.303779184818268
12-26-42,192.7,16.309856176376343
12-26-43,193.7,16.303226351737976
12-26-44,194.7,16.266764402389526
