Timestamp (HH-MM-SS),Time (s),TSic AIN0 (°C)
14-35-59,1.1,17.603155970573425
14-36-00,2.1,17.571665346622467
14-36-01,3.1,17.60425955057144
14-36-02,4.1,17.60425955057144
14-36-03,5.1,17.57442742586136
14-36-04,6.1,17.57442742586136
14-36-05,7.1,17.605918049812317
14-36-06,8.1,17.5672447681427
14-36-07,9.1,17.571112513542175
14-36-08,10.2,17.571665346622467
14-36-09,11.2,17.566694021224976
14-36-10,12.2,17.6092329621315
14-36-11,13.2,17.583266496658325
14-36-12,14.2,17.6092329621315
14-36-13,15.2,17.603155970573425
14-36-14,16.2,17.60868012905121
14-36-15,17.2,17.61088937520981
14-36-16,18.2,17.576085925102234
14-36-17,19.2,17.573874592781067
14-36-18,20.2,17.611995041370392
14-36-19,21.2,17.573874592781067
14-36-20,22.2,17.610336542129517
14-36-21,23.3,17.60868012905121
14-36-22,24.3,17.60370671749115
14-36-23,25.3,17.612547874450684
14-36-24,26.3,17.602603137493134
14-36-25,27.3,17.578295171260834
14-36-26,28.3,17.60868012905121
14-36-27,29.3,17.609785795211792
14-36-28,30.3,17.60149747133255
14-36-29,31.3,17.607574462890625
14-36-30,32.3,17.604812383651733
14-36-31,33.3,17.602603137493134
14-36-32,34.3,17.575533092021942
14-36-33,35.4,17.608127295970917
14-36-34,36.4,17.602603137493134
14-36-35,37.4,17.603155970573425
14-36-36,38.4,17.59652614593506
14-36-37,39.4,17.607021629810333
14-36-38,40.4,17.6114422082901
14-36-39,41.4,17.60868012905121
14-36-40,42.4,17.600393891334534
14-36-41,43.4,17.602603137493134
14-36-42,44.4,17.607021629810333
14-36-43,45.4,17.605918049812317
14-36-44,46.5,17.634093761444092
14-36-45,47.5,17.6114422082901
14-36-46,48.5,17.60868012905121
14-36-47,49.5,17.607574462890625
14-36-48,50.5,17.60647088289261
14-36-49,51.5,17.569456100463867
14-36-50,52.5,17.57498025894165
14-36-51,53.5,17.644036412239075
14-36-52,54.5,17.611995041370392
14-36-53,55.5,17.610336542129517
14-36-54,56.5,17.57277101278305
14-36-55,57.6,17.61088937520981
14-36-56,58.6,17.576085925102234
14-36-57,59.6,17.578295171260834
14-36-58,60.6,17.60370671749115
14-36-59,61.6,17.57277101278305
14-37-00,62.6,17.57939875125885
14-37-01,63.6,17.573321759700775
14-37-02,64.6,17.57718950510025
14-37-03,65.6,17.573321759700775
14-37-04,66.6,17.573321759700775
14-37-05,67.7,17.57498025894165
14-37-06,68.7,17.57000893354416
14-37-07,69.7,17.568903267383575
14-37-08,70.7,17.573874592781067
14-37-09,71.7,17.61088937520981
14-37-10,72.7,17.571112513542175
14-37-11,73.7,17.583266496658325
14-37-12,74.7,17.567797601222992
14-37-13,75.7,17.570559680461884
14-37-14,76.7,17.57442742586136
14-37-15,77.7,17.576085925102234
14-37-16,78.8,17.604812383651733
14-37-17,79.8,17.610336542129517
14-37-18,80.8,17.613098621368408
14-37-19,81.8,17.571112513542175
14-37-20,82.8,17.57498025894165
14-37-21,83.8,17.605918049812317
14-37-22,84.9,17.573321759700775
14-37-23,85.9,17.603155970573425
14-37-24,86.9,17.607574462890625
14-37-26,87.9,17.609785795211792
14-37-27,88.9,17.607574462890625
14-37-28,89.9,17.60868012905121
14-37-29,91.0,17.570559680461884
14-37-30,92.0,17.61088937520981
14-37-31,93.0,17.646798491477966
14-37-32,94.0,17.62083411216736
14-37-33,95.0,17.615862786769867
14-37-34,96.0,17.607021629810333
14-37-35,97.1,17.609785795211792
14-37-36,98.1,17.569456100463867
14-37-37,99.1,17.608127295970917
14-37-38,100.1,17.570559680461884
14-37-39,101.1,17.60647088289261
14-37-40,102.1,17.64624774456024
14-37-41,103.1,17.61420428752899
14-37-42,104.1,17.60094463825226
14-37-43,105.2,17.64624774456024
14-37-44,106.2,17.610336542129517
14-37-45,107.2,17.61088937520981
14-37-46,108.2,17.603155970573425
14-37-47,109.2,17.604812383651733
14-37-48,110.2,17.602603137493134
14-37-49,111.2,17.604812383651733
14-37-50,112.2,17.57663667201996
14-37-51,113.2,17.61088937520981
14-37-52,114.2,17.608127295970917
14-37-53,115.2,17.639065086841583
14-37-54,116.2,17.60647088289261
14-37-55,117.3,17.570559680461884
14-37-56,118.4,17.6114422082901
14-37-57,119.5,17.579951584339142
14-37-58,120.5,17.610336542129517
14-37-59,121.5,17.611995041370392
14-38-00,122.5,17.611995041370392
14-38-01,123.5,17.610336542129517
14-38-02,124.5,17.6136514544487
14-38-03,125.5,17.605365216732025
14-38-04,126.5,17.607574462890625
14-38-05,127.5,17.610336542129517
14-38-06,128.5,17.609785795211792
14-38-07,129.5,17.578848004341125
14-38-08,130.5,17.605365216732025
14-38-09,131.5,17.60370671749115
14-38-10,132.5,17.578295171260834
14-38-11,133.5,17.60647088289261
14-38-12,134.5,17.571665346622467
14-38-13,135.5,17.61088937520981
14-38-14,136.6,17.57939875125885
14-38-15,137.6,17.605365216732025
14-38-16,138.6,17.569456100463867
14-38-17,139.6,17.60868012905121
14-38-18,140.6,17.60647088289261
14-38-19,141.6,17.57442742586136
14-38-20,142.6,17.6092329621315
14-38-21,143.6,17.607021629810333
14-38-22,144.6,17.575533092021942
14-38-23,145.6,17.605918049812317
14-38-24,146.6,17.57221817970276
14-38-25,147.6,17.602050304412842
14-38-26,148.6,17.56448268890381
14-38-27,149.7,17.609785795211792
14-38-28,150.7,17.607574462890625
14-38-29,151.7,17.602050304412842
14-38-30,152.7,17.610336542129517
14-38-31,153.7,17.613098621368408
14-38-32,154.7,17.6136514544487
14-38-33,155.7,17.60868012905121
14-38-34,156.7,17.611995041370392
