Time,Channel A
(s),(mV)

0.00000000,109.46989441
0.00200000,109.46989441
0.00400000,104.02539062
0.00600000,107.65708923
0.00800000,114.92049408
0.01000000,107.65708923
0.01200000,104.02539062
0.01400000,107.65708923
0.01600000,105.84429169
0.01800000,105.84429169
0.02000000,104.02539062
0.02200000,102.21258545
0.02400000,111.28879547
0.02600000,111.28879547
0.02800000,107.65708923
0.03000000,102.21258545
0.03200000,107.65708923
0.03400000,107.65708923
0.03600000,105.84429169
0.03800000,105.84429169
0.04000000,113.10159302
0.04200000,107.65708923
0.04400000,107.65708923
0.04600000,104.02539062
0.04800000,105.84429169
0.05000000,111.28879547
0.05200000,105.84429169
0.05400000,102.21258545
0.05600000,109.46989441
0.05800000,107.65708923
0.06000000,109.46989441
0.06200000,102.21258545
0.06400000,107.65708923
0.06600000,111.28879547
0.06800000,107.65708923
0.07000000,105.84429169
0.07200000,105.84429169
0.07400000,107.65708923
0.07600000,111.28879547
0.07800000,105.84429169
0.08000000,104.02539062
0.08200000,105.84429169
0.08400000,111.28879547
0.08600000,104.02539062
0.08800000,100.39368439
0.09000000,111.28879547
0.09200000,107.65708923
0.09400000,105.84429169
0.09600000,104.02539062
0.09800000,107.65708923
0.10000000,107.65708923
0.10200000,105.84429169
0.10400000,100.39368439
0.10600001,109.46989441
0.10800001,113.10159302
0.11000001,111.28879547
0.11200001,105.84429169
0.11400001,105.84429169
0.11600001,111.28879547
0.11800001,105.84429169
0.12000001,102.21258545
0.12200001,102.21258545
0.12400001,105.84429169
0.12600001,113.10159302
0.12800001,105.84429169
0.13000001,104.02539062
0.13200001,105.84429169
0.13400001,111.28879547
0.13600001,107.65708923
0.13800001,105.84429169
0.14000001,105.84429169
0.14200001,113.10159302
0.14400001,107.65708923
0.14600001,100.39368439
0.14800001,105.84429169
0.15000001,105.84429169
0.15200001,107.65708923
0.15400001,100.39368439
0.15600001,107.65708923
0.15800001,111.28879547
0.16000001,109.46989441
0.16200001,104.02539062
0.16400001,102.21258545
0.16600001,109.46989441
0.16800001,107.65708923
0.17000001,104.02539062
0.17200001,105.84429169
0.17400001,107.65708923
0.17600001,111.28879547
0.17800001,104.02539062
0.18000001,104.02539062
0.18200001,105.84429169
0.18400001,111.28879547
0.18600001,105.84429169
0.18800001,100.39368439
0.19000001,109.46989441
0.19200001,113.10159302
0.19400001,105.84429169
0.19600001,104.02539062
0.19800001,107.65708923
0.20000001,105.84429169
0.20200001,104.02539062
0.20400001,104.02539062
0.20600001,107.65708923
0.20800001,111.28879547
0.21000001,113.10159302
0.21200001,100.39368439
0.21400001,107.65708923
0.21600001,113.10159302
0.21800001,107.65708923
0.22000001,104.02539062
0.22200001,105.84429169
0.22400001,114.92049408
0.22600001,111.28879547
0.22800001,104.02539062
0.23000001,104.02539062
0.23200001,109.46989441
0.23400001,111.28879547
0.23600001,104.02539062
0.23800001,105.84429169
0.24000001,111.28879547
0.24200001,111.28879547
0.24400001,111.28879547
0.24600001,102.21258545
0.24800001,105.84429169
0.25000001,109.46989441
0.25200001,107.65708923
0.25400001,104.02539062
0.25600001,104.02539062
0.25800001,111.28879547
0.26000001,107.65708923
0.26200001,105.84429169
0.26400001,107.65708923
0.26600001,105.84429169
0.26800001,109.46989441
0.27000001,100.39368439
0.27200001,107.65708923
0.27400001,109.46989441
0.27600001,111.28879547
0.27800001,102.21258545
0.28000001,102.21258545
0.28200001,105.84429169
0.28400001,111.28879547
0.28600001,105.84429169
0.28800001,102.21258545
0.29000001,111.28879547
0.29200001,107.65708923
0.29400001,105.84429169
0.29600001,105.84429169
0.29800001,105.84429169
0.30000001,109.46989441
0.30200001,104.02539062
0.30400001,104.02539062
0.30600001,109.46989441
0.30800001,107.65708923
0.31000001,107.65708923
0.31200001,104.02539062
0.31400001,109.46989441
0.31600002,105.84429169
0.31800002,109.46989441
0.32000002,102.21258545
0.32200002,104.02539062
0.32400002,107.65708923
0.32600002,107.65708923
0.32800002,105.84429169
0.33000002,107.65708923
0.33200002,107.65708923
0.33400002,111.28879547
0.33600002,104.02539062
0.33800002,104.02539062
0.34000002,107.65708923
0.34200002,113.10159302
0.34400002,104.02539062
0.34600002,105.84429169
0.34800002,107.65708923
