Time,Channel A
(s),(mV)

0.00000000,1.58848834
0.00200000,2.49946594
0.00400000,1.58848834
0.00600000,1.58848834
0.00800000,2.04473996
0.01000000,1.58848834
0.01200000,2.49946594
0.01400000,2.04473996
0.01600000,1.58848834
0.01800000,2.49946594
0.02000000,1.58848834
0.02200000,2.04473996
0.02400000,2.04473996
0.02600000,1.58848834
0.02800000,2.49946594
0.03000000,2.04473996
0.03200000,2.04473996
0.03400000,2.04473996
0.03600000,2.04473996
0.03800000,2.49946594
0.04000000,1.58848834
0.04200000,1.58848834
0.04400000,2.04473996
0.04600000,1.58848834
0.04800000,2.49946594
0.05000000,2.04473996
0.05200000,2.04473996
0.05400000,2.49946594
0.05600000,1.58848834
0.05800000,2.04473996
0.06000000,1.58848834
0.06200000,2.04473996
0.06400000,2.04473996
0.06600000,1.58848834
0.06800000,2.04473996
0.07000000,2.04473996
0.07200000,2.49946594
0.07400000,1.58848834
0.07600000,2.04473996
0.07800000,2.04473996
0.08000000,2.04473996
0.08200000,2.49946594
0.08400000,1.58848834
0.08600000,2.04473996
0.08800000,2.04473996
0.09000000,1.58848834
0.09200000,2.04473996
0.09400000,1.58848834
0.09600000,2.04473996
0.09800000,2.04473996
0.10000000,2.04473996
0.10200000,2.04473996
0.10400000,1.58848834
0.10600001,2.49946594
0.10800001,1.58848834
0.11000001,2.04473996
0.11200001,2.04473996
0.11400001,1.58848834
0.11600001,2.95419168
0.11800001,2.04473996
0.12000001,2.04473996
0.12200001,2.04473996
0.12400001,2.04473996
0.12600001,2.04473996
0.12800001,2.04473996
0.13000001,2.04473996
0.13200001,2.04473996
0.13400001,2.04473996
0.13600001,2.95419168
0.13800001,2.04473996
0.14000001,2.49946594
0.14200001,2.04473996
0.14400001,2.04473996
0.14600001,2.95419168
0.14800001,2.04473996
0.15000001,2.49946594
0.15200001,2.49946594
0.15400001,2.04473996
0.15600001,2.95419168
0.15800001,2.04473996
0.16000001,2.49946594
0.16200001,2.04473996
0.16400001,2.04473996
0.16600001,2.95419168
0.16800001,2.04473996
0.17000001,2.49946594
0.17200001,2.04473996
0.17400001,2.04473996
0.17600001,2.95419168
0.17800001,2.04473996
0.18000001,2.95419168
0.18200001,2.49946594
0.18400001,2.04473996
0.18600001,2.95419168
0.18800001,2.04473996
0.19000001,2.95419168
0.19200001,2.04473996
0.19400001,2.49946594
0.19600001,3.40891743
0.19800001,2.49946594
0.20000001,2.95419168
0.20200001,2.95419168
0.20400001,2.49946594
0.20600001,3.40891743
0.20800001,2.49946594
0.21000001,2.95419168
0.21200001,2.95419168
0.21400001,2.49946594
0.21600001,3.40891743
0.21800001,2.95419168
0.22000001,2.95419168
0.22200001,2.95419168
0.22400001,2.95419168
0.22600001,2.95419168
0.22800001,2.95419168
0.23000001,3.40891743
0.23200001,2.95419168
0.23400001,2.95419168
0.23600001,3.40891743
0.23800001,2.95419168
0.24000001,3.40891743
0.24200001,2.95419168
0.24400001,3.40891743
0.24600001,2.95419168
0.24800001,2.49946594
0.25000001,3.40891743
0.25200001,2.95419168
0.25400001,3.40891743
0.25600001,2.95419168
0.25800001,2.95419168
0.26000001,3.40891743
0.26200001,2.95419168
0.26400001,3.40891743
0.26600001,2.95419168
0.26800001,3.40891743
0.27000001,3.40891743
0.27200001,2.95419168
0.27400001,3.40891743
0.27600001,2.95419168
0.27800001,2.95419168
0.28000001,2.95419168
0.28200001,2.95419168
0.28400001,3.40891743
0.28600001,2.95419168
0.28800001,3.40891743
0.29000001,2.95419168
0.29200001,2.95419168
0.29400001,2.95419168
0.29600001,2.95419168
0.29800001,2.95419168
0.30000001,2.95419168
0.30200001,2.95419168
0.30400001,2.95419168
0.30600001,2.04473996
0.30800001,2.95419168
0.31000001,2.95419168
0.31200001,2.95419168
0.31400001,2.95419168
0.31600002,2.49946594
0.31800002,2.95419168
0.32000002,2.95419168
0.32200002,3.40891743
0.32400002,2.95419168
0.32600002,2.49946594
0.32800002,2.95419168
0.33000002,2.04473996
0.33200002,2.95419168
0.33400002,2.95419168
0.33600002,2.04473996
0.33800002,2.95419168
0.34000002,2.04473996
0.34200002,2.95419168
0.34400002,2.49946594
0.34600002,2.49946594
0.34800002,2.95419168
