Timestamp (HH-MM-SS),Time (s),TSic AIN0 (°C)
10-16-47,1.1,18.18050354719162
10-16-48,2.1,18.179208040237427
10-16-49,3.1,18.180532058080036
10-16-50,4.1,18.179488629102707
10-16-51,5.1,18.17955309152603
10-16-52,6.1,18.180056760708492
10-16-53,7.1,18.179886043071747
10-16-54,8.1,18.17961771041155
10-16-55,9.1,18.18021496136983
10-16-56,10.2,18.180226504802704
10-16-57,11.2,18.18042427301407
10-16-58,12.2,18.18053883810838
10-16-59,13.2,18.18079512852889
10-17-00,14.2,18.18070024251938
10-17-01,15.2,18.180911600589752
10-17-02,16.2,18.18119364976883
10-17-03,17.2,18.18343335390091
10-17-04,18.2,18.18354280789693
10-17-05,19.2,18.183709700902302
10-17-06,20.2,18.184026380379994
10-17-07,21.3,18.18585733572642
10-17-08,22.3,18.186145226160686
10-17-09,23.3,18.186548272768658
10-17-10,24.3,18.188626925150555
10-17-11,25.3,18.19099332888921
10-17-12,26.3,18.193123718102772
10-17-13,27.3,18.19504104057948
10-17-14,28.3,18.19725779692332
10-17-15,29.3,18.199676076571148
10-17-16,30.3,18.201869746049244
10-17-17,31.3,18.20355675617854
10-17-18,32.4,18.203879137833912
10-17-19,33.4,18.206066966056824
10-17-20,34.4,18.208381632963818
10-17-21,35.4,18.210137764612835
10-17-22,36.4,18.210799912611645
10-17-23,37.4,18.212659657001495
10-17-24,38.4,18.214922447999317
10-17-25,39.4,18.21483023961385
10-17-26,40.4,18.214715083440144
10-17-27,41.4,18.214812994003296
10-17-28,42.4,18.215112288792927
10-17-29,43.5,18.214847485224407
10-17-30,44.5,18.214870433012646
10-17-31,45.5,18.214617172876995
10-17-32,46.5,18.21474387248357
10-17-33,47.5,18.21456543604533
10-17-34,48.5,18.21440424521764
10-17-35,49.5,18.2143408258756
10-17-36,50.5,18.214778502782185
10-17-37,51.5,18.214600066343944
10-17-38,52.5,18.214559733867645
10-17-39,53.5,18.21430633465449
10-17-40,54.5,18.216367602348328
10-17-41,55.6,18.218567113081615
10-17-42,56.6,18.218394378821056
10-17-43,57.6,18.218446254730225
10-17-44,58.6,18.21885500351588
10-17-45,59.6,18.218745688597362
10-17-46,60.6,18.218676567077637
10-17-47,61.6,18.21927543481191
10-17-48,62.6,18.219108402729034
10-17-49,63.6,18.22129637002945
10-17-50,64.6,18.221417367458344
10-17-51,65.7,18.22342675924301
