Peak Indices,Peak Times,Peak Temps
695,2613.9041241599994,16.696890244176892
1920,2638.4041253199994,16.69812245541131
2883,2657.6641262399994,16.696592188795567
3602,2672.0441269199996,16.695016057964985
5235,2704.704128469999,16.690210473788294
6814,2736.2841299699994,16.686323064527638
10471,2809.4241334399994,16.69343773912157
12945,2858.9041357899996,16.70563973764234
15485,2909.704138209999,16.707414776114696
16884,2937.6841395399993,16.70776158313945
20393,3007.8641428699993,16.711578420445242
23001,3060.0241453499993,16.708939887683943
24826,3096.5241470799992,16.70095166321612
26762,3135.244148919999,16.699526033358413
29350,3187.0041513799993,16.70157612798473
30844,3216.8841527999994,16.69768607990608
34570,3291.404156339999,16.69791828918281
39965,3399.3041614599992,16.697631771500216
42551,3451.024163919999,16.6981052798576
47414,3548.284168539999,16.699486015368425
50556,3611.124171519999,16.699843670855536
52651,3653.024173509999,16.6966389886471
57217,3744.344177849999,16.700604050312066
61466,3829.3241818899983,16.703190551312765
63590,3871.8041839099983,16.70075430995459
66205,3924.104186389998,16.701423066527614
70095,4001.904190079999,16.705894305357237
74989,4099.7841947299985,16.70432451580824
76685,4133.704196339999,16.703773640765476
80828,4216.564200279999,16.69676625569148
83395,4267.904202709999,16.695956029119422
84742,4294.844203989998,16.699386920263223
86534,4330.6842056999985,16.701033602873338
87874,4357.484206969999,16.6991993270614
90152,4403.044209129998,16.697952950364588
93999,4479.984212789998,16.705607811977785
