Timestamp (HH-MM-SS),Time (s),TSic AIN0 (°C)
14-14-09,1.1,16.06788009405136
14-14-10,2.1,16.06346160173416
14-14-11,3.2,16.073404252529144
14-14-12,4.2,16.098265051841736
14-14-13,5.2,16.062355935573578
14-14-14,6.2,16.056831777095795
14-14-15,7.2,16.06567084789276
14-14-16,8.2,16.07008934020996
14-14-17,9.3,16.064565181732178
14-14-18,10.3,16.070642173290253
14-14-19,11.3,16.059041023254395
14-14-20,12.3,16.06511801481247
14-14-21,13.3,16.059041023254395
14-14-22,14.3,16.06732726097107
14-14-23,15.3,16.10157996416092
14-14-24,16.4,16.076719164848328
14-14-25,17.4,16.06511801481247
14-14-26,18.4,16.097712218761444
14-14-27,19.4,16.133070588111877
14-14-28,20.4,16.168426871299744
14-14-29,21.4,16.203785240650177
14-14-30,22.4,16.234723031520844
14-14-31,23.4,16.26510798931122
14-14-32,24.4,16.305988430976868
14-14-33,25.5,16.340241134166718
14-14-34,26.5,16.36952042579651
14-14-35,27.6,16.407088041305542
14-14-36,28.6,16.47283136844635
14-14-37,29.6,16.481670439243317
14-14-38,30.6,16.52144730091095
14-14-39,31.6,16.5115025639534
14-14-40,32.7,16.510949730873108
14-14-41,33.7,16.580558717250824
14-14-42,34.7,16.618126332759857
14-14-43,35.7,16.6043159365654
14-14-44,36.7,16.615917086601257
14-14-45,37.7,16.659561693668365
14-14-46,38.7,16.680554747581482
14-14-47,39.7,16.715911030769348
14-14-49,40.7,16.713148951530457
14-14-50,41.7,16.722540855407715
14-14-51,42.7,16.74353390932083
14-14-52,43.8,16.749058067798615
14-14-53,44.8,16.75292581319809
14-14-54,45.8,16.783310770988464
14-14-55,46.8,16.780548691749573
14-14-56,47.8,16.820325553417206
14-14-57,48.8,16.81866705417633
14-14-58,49.8,16.818116307258606
14-14-59,50.8,16.784416437149048
14-15-00,51.8,16.819219887256622
14-15-01,52.8,16.78938776254654
14-15-02,53.9,16.77999585866928
14-15-03,54.9,16.819772720336914
14-15-04,55.9,16.786625683307648
14-15-05,56.9,16.781101524829865
14-15-06,57.9,16.79159700870514
14-15-07,58.9,16.79159700870514
14-15-08,59.9,16.783863604068756
14-15-09,60.9,16.782757937908173
14-15-10,61.9,16.780548691749573
14-15-11,62.9,16.77999585866928
14-15-12,63.9,16.794911921024323
14-15-13,64.9,16.77723377943039
14-15-14,66.0,16.784967184066772
14-15-15,67.0,16.784967184066772
14-15-16,68.0,16.786625683307648
14-15-17,69.0,16.756240725517273
14-15-18,70.0,16.751820147037506
14-15-19,71.0,16.784416437149048
14-15-20,72.0,16.786072850227356
14-15-21,73.0,16.785520017147064
14-15-22,74.0,16.754582226276398
14-15-23,75.0,16.75789713859558
14-15-24,76.0,16.75347864627838
14-15-25,77.1,16.756793558597565
14-15-26,78.1,16.749058067798615
14-15-27,79.1,16.751267313957214
14-15-28,80.1,16.75513505935669
14-15-29,81.1,16.751820147037506
14-15-30,82.1,16.75568789243698
14-15-31,83.1,16.75071656703949
14-15-32,84.1,16.756240725517273
14-15-33,85.1,16.75347864627838
14-15-34,86.1,16.756793558597565
14-15-35,87.1,16.75071656703949
14-15-36,88.1,16.759002804756165
14-15-37,89.1,16.717569530010223
14-15-38,90.2,16.715911030769348
14-15-39,91.2,16.744639575481415
14-15-40,92.2,16.718120276927948
14-15-41,93.2,16.754582226276398
