Timestamp (HH-MM-SS),Time (s),TSic AIN0 (°C)
16-35-35,1.1,18.375488817691803
16-35-36,2.1,18.414712846279144
16-35-37,3.1,18.44565063714981
16-35-38,4.1,18.48376899957657
16-35-39,5.1,18.481006920337677
16-35-40,6.1,18.519680202007294
16-35-41,7.1,18.547303080558777
16-35-42,8.1,18.553930819034576
16-35-43,9.1,18.583765029907227
16-35-44,10.2,18.6185684800148
16-35-45,11.2,18.62575113773346
16-35-46,12.2,18.621330559253693
16-35-47,13.2,18.57768803834915
16-35-48,14.2,18.50642055273056
16-35-49,15.2,18.410292267799377
16-35-50,16.2,18.300353586673737
16-35-51,17.2,18.173289597034454
16-35-52,18.2,18.08655321598053
16-35-53,19.2,17.982691526412964
16-35-54,20.2,17.84236788749695
16-35-55,21.3,17.81143218278885
16-35-56,22.3,17.705359160900116
16-35-57,23.3,17.639065086841583
16-35-58,24.3,17.539621889591217
16-35-59,25.3,17.508686184883118
16-36-00,26.3,17.439075112342834
16-36-01,27.3,17.398194670677185
16-36-02,28.3,17.32858568429947
16-36-03,29.3,17.293780148029327
16-36-04,30.3,17.225274741649628
16-36-05,31.3,17.193233370780945
16-36-06,32.4,17.151247262954712
16-36-07,33.4,17.122518718242645
16-36-08,34.4,17.091028094291687
16-36-09,35.4,17.05567181110382
16-36-10,36.4,17.019762694835663
16-36-11,37.4,17.023077607154846
16-36-12,38.4,16.989377737045288
16-36-13,39.4,16.99213981628418
16-36-14,40.4,16.95070445537567
16-36-15,41.4,16.947389543056488
16-36-16,42.4,16.92584365606308
16-36-17,43.5,16.958992779254913
16-36-18,44.5,16.992690563201904
16-36-19,45.5,17.01865702867508
16-36-20,46.5,17.088266015052795
16-36-21,47.5,17.12638646364212
16-36-22,48.5,17.157324254512787
16-36-23,49.5,17.193786203861237
16-36-24,50.5,17.256212532520294
16-36-25,51.5,17.29488581418991
16-36-26,52.5,17.334109842777252
16-36-27,53.6,17.32858568429947
16-36-28,54.6,17.36283630132675
16-36-29,55.6,17.392670512199402
16-36-30,56.6,17.432447373867035
16-36-31,57.6,17.4655944108963
16-36-32,58.6,17.4655944108963
16-36-33,59.6,17.4700129032135
16-36-34,60.6,17.4655944108963
16-36-35,61.6,17.504818439483643
16-36-36,62.6,17.53796547651291
16-36-37,63.6,17.508133351802826
16-36-38,64.7,17.542386054992676
16-36-39,65.7,17.532994151115417
16-36-41,66.7,17.541280388832092
16-36-42,67.7,17.5363090634346
16-36-43,68.7,17.57277101278305
16-36-44,69.7,17.575533092021942
16-36-45,70.7,17.610336542129517
16-36-46,71.7,17.57000893354416
16-36-47,72.7,17.573321759700775
16-36-48,73.7,17.539621889591217
16-36-49,74.8,17.46725082397461
16-36-50,75.8,17.398747503757477
16-36-51,76.8,17.366151213645935
16-36-52,77.8,17.29654222726822
16-36-53,78.8,17.259527444839478
16-36-54,79.8,17.18991845846176
16-36-55,80.9,17.154560089111328
16-36-56,81.9,17.08992451429367
16-36-57,82.9,17.058433890342712
16-36-58,83.9,17.024734020233154
16-36-59,84.9,16.98716640472412
16-37-00,85.9,16.956781446933746
16-37-01,86.9,16.927502155303955
16-37-02,87.9,16.92308157682419
16-37-03,88.9,16.88882887363434
16-37-04,89.9,16.853472590446472
16-37-05,90.9,16.85291975736618
16-37-06,92.0,16.818116307258606
16-37-07,93.0,16.82364046573639
16-37-08,94.0,16.781654357910156
16-37-09,95.0,16.785520017147064
16-37-10,96.0,16.77999585866928
16-37-11,97.0,16.754031479358673
16-37-12,98.0,16.75347864627838
16-37-13,99.0,16.754031479358673
16-37-14,100.0,16.754031479358673
16-37-15,101.0,16.714805364608765
16-37-16,102.0,16.717569530010223
16-37-17,103.1,16.75071656703949
16-37-18,104.1,16.78938776254654
16-37-19,105.1,16.893249452114105
16-37-20,106.1,16.988824903964996
16-37-21,107.1,17.12362438440323
16-37-22,108.1,17.26063311100006
16-37-23,109.1,17.361179888248444
16-37-24,110.1,17.460620999336243
16-37-25,111.1,17.609785795211792
16-37-26,112.1,17.70922690629959
16-37-27,113.1,17.807564437389374
16-37-28,114.1,17.87938266992569
16-37-29,115.2,17.978825867176056
16-37-30,116.2,18.051196932792664
16-37-31,117.2,18.126882910728455
16-37-32,118.2,18.20643663406372
16-37-33,119.2,18.27936053276062
16-37-34,120.2,18.309745490550995
16-37-35,121.2,18.34289461374283
16-37-36,122.2,18.405873775482178
16-37-37,123.2,18.44565063714981
16-37-38,124.2,18.510288298130035
16-37-39,125.3,18.553380072116852
16-37-40,126.3,18.587630689144135
16-37-41,127.3,18.619674146175385
16-37-42,128.3,18.65226835012436
16-37-43,129.3,18.683758974075317
16-37-44,130.3,18.726297914981842
16-37-45,131.3,18.748396635055542
16-37-46,132.3,18.7599977850914
16-37-47,133.3,18.75005304813385
16-37-48,134.3,18.753367960453033
16-37-49,135.3,18.692045211791992
16-37-50,136.4,18.65061193704605
16-37-51,137.4,18.615253567695618
16-37-52,138.4,18.546197414398193
16-37-53,139.4,18.519127368927002
16-37-54,140.4,18.480456173419952
16-37-55,141.4,18.449518382549286
16-37-56,142.4,18.381012976169586
16-37-57,143.4,18.343445360660553
16-37-58,144.4,18.307536244392395
16-37-59,145.4,18.304774165153503
16-38-00,146.4,18.23792725801468
16-38-01,147.5,18.24013650417328
16-38-02,148.5,18.209198713302612
16-38-03,149.5,18.17771017551422
16-38-04,150.5,18.12577933073044
16-38-05,151.5,18.126882910728455
16-38-06,152.5,18.083240389823914
16-38-07,153.5,18.052302598953247
16-38-08,154.5,18.05561751127243
16-38-09,155.5,18.01915556192398
16-38-10,156.5,18.024126887321472
16-38-11,157.5,18.020259141921997
16-38-12,158.5,17.983797192573547
16-38-13,159.6,17.98655927181244
16-38-14,160.6,17.983244359493256
16-38-15,161.6,17.939049005508423
16-38-16,162.6,17.94788807630539
16-38-17,163.6,17.912529706954956
16-38-18,164.6,17.8744113445282
16-38-19,165.6,17.846235632896423
16-38-20,166.6,17.778835892677307
16-38-21,167.6,17.741268277168274
16-38-22,168.6,17.714198231697083
16-38-23,169.6,17.669450044631958
16-38-24,170.7,17.637406587600708
16-38-25,171.7,17.604812383651733
16-38-27,172.7,17.610336542129517
16-38-28,173.7,17.539621889591217
16-38-29,174.7,17.541280388832092
16-38-30,175.7,17.504818439483643
16-38-31,176.7,17.4700129032135
16-38-32,177.7,17.4700129032135
16-38-33,178.7,17.437418699264526
16-38-34,179.8,17.40427166223526
16-38-35,180.8,17.403165996074677
16-38-36,181.8,17.362285554409027
16-38-37,182.8,17.33079493045807
16-38-38,183.8,17.322508692741394
16-38-39,184.8,17.33134776353836
16-38-40,185.8,17.29875147342682
16-38-41,186.9,17.292674481868744
16-38-42,187.9,17.300409972667694
16-38-43,188.9,17.261736690998077
16-38-44,189.9,17.26008027791977
16-38-45,190.9,17.256765365600586
16-38-46,191.9,17.256212532520294
16-38-47,192.9,17.22803682088852
16-38-48,193.9,17.229695320129395
16-38-49,194.9,17.264500856399536
16-38-50,195.9,17.292121648788452
16-38-51,196.9,17.291570901870728
16-38-52,198.0,17.334662675857544
16-38-53,199.0,17.33355700969696
16-38-54,200.0,17.366151213645935
16-38-55,201.0,17.397641837596893
16-38-56,202.0,17.40150958299637
16-38-57,203.0,17.400956749916077
16-38-58,204.0,17.430236041545868
16-38-59,205.0,17.439075112342834
16-39-00,206.0,17.434103786945343
16-39-01,207.0,17.46725082397461
16-39-02,208.0,17.461173832416534
16-39-03,209.0,17.466697990894318
16-39-04,210.1,17.507580518722534
16-39-05,211.1,17.50150352716446
16-39-06,212.1,17.503159940242767
16-39-07,213.1,17.50150352716446
16-39-08,214.1,17.504818439483643
16-39-09,215.1,17.503159940242767
16-39-10,216.1,17.505371272563934
16-39-11,217.1,17.49929428100586
16-39-12,218.1,17.50371277332306
16-39-13,219.1,17.50592201948166
16-39-14,220.1,17.50592201948166
16-39-15,221.2,17.50371277332306
16-39-16,222.2,17.505371272563934
16-39-17,223.2,17.50371277332306
16-39-18,224.2,17.50205636024475
16-39-19,225.2,17.473327815532684
16-39-20,226.2,17.434656620025635
16-39-21,227.2,17.398747503757477
16-39-22,228.2,17.370571792125702
16-39-23,229.2,17.32361227273941
16-39-24,230.2,17.29488581418991
