Time,Channel A,Channel B
0.002,-2.4194395922222225,-1.5075465444444445
0.022,-2.72326831,-1.4974821933333333
0.042,-3.128147218888889,-1.4954679666666668
0.062,-1.9138495355555556,-1.4934605355555557
0.082,-2.21767828,-1.4954679666666668
0.102,-1.91418862,-1.4954679666666668
0.12200001,-2.0148997411111114,-1.4954679666666668
0.14200001,-1.9138495355555556,-1.4934605355555557
0.16200001,-1.91418862,-1.5015106466666668
0.18200001,-2.2173392633333333,-1.4954747622222222
0.20200001,-1.7117492066666666,-1.4954679666666668
0.22200001,-2.11628899,-1.4954679666666668
0.24200001,-1.9138495766666668,-1.5015106466666668
0.26200001,-1.610699001111111,-1.4974821933333333
0.28200001,-2.0148997411111114,-1.4954679666666668
0.30200001,-1.8127994122222222,-1.4874314466666667
0.32200002,-1.8127993711111112,-1.4954747622222222
0.34200002,-1.6110381466666668,-1.5035248733333333
0.36200002,-1.4085986722222221,-1.4974821933333333
0.38200002,-1.610699001111111,-1.4954679666666668
0.40200002,-1.4085987544444445,-1.49345374
0.42200002,-1.105448171111111,-1.49345374
0.44200002,-1.0043980144444444,-1.4954747622222222
0.46200002,-1.2064983355555556,-1.4954747622222222
0.48200002,-1.105448171111111,-1.49949642
0.50200002,-1.105448171111111,-1.49949642
0.52200002,-1.105448171111111,-1.497488988888889
0.54200003,-0.8022976566666666,-1.497488988888889
0.56200003,-1.1054481633333333,-1.497488988888889
0.58200003,-0.80229767,-1.5015106466666668
0.60200003,-1.4085986722222221,-1.497488988888889
0.62200003,-0.7012474977777777,-1.4954747622222222
0.64200003,-0.29670771444444444,-1.4954815577777778
0.66200003,-0.8022976544444445,-1.491446308888889
0.68200003,-1.1054481788888888,-1.4934605355555557
0.70200003,-0.8026367722222222,-1.5015106466666668
0.72200003,-0.80229767,-1.4934605355555557
0.74200004,-0.6001973333333332,-1.4894388777777778
0.76200004,-0.49914716111111107,-1.4894456733333334
0.78200004,0.10715388333333332,-1.4854240155555556
0.80200004,-0.19599663888888888,-1.4814091533333333
0.82200004,0.30959333,-1.47538686
0.84200004,0.3095933166666667,-1.475373268888889
0.86200004,0.41064350777777775,-1.477394291111111
0.88200004,0.20820405555555554,-1.4814091533333333
0.90200004,0.2085431577777778,-1.477394291111111
0.92200004,0.0061037055555555565,-1.4794017222222222
0.94200004,0.10715388333333332,-1.477394291111111
0.96200005,0.10749297444444446,-1.4794017222222222
0.98200005,-0.19599663888888888,-1.4814091533333333
1.00200005,-0.3984360855555556,-1.4834165844444445
1.02200005,-0.3980969811111111,-1.4874314466666667
1.04200005,-0.7012475055555555,-1.4874314466666667
1.06200005,-0.6001973255555555,-1.4894456733333334
1.08200005,-1.2064983355555556,-1.4834165844444445
