Timestamp (HH-MM-SS),Time (s),J-2 (center) Thermocouple (°C),TSic AIN0 (°C)
17-29-30,1.2,18.29217529296875,18.35055708885193
17-29-31,2.2,18.301528930664062,18.342352211475372
17-29-32,3.2,18.314239501953125,18.34419498840968
17-29-33,4.2,18.317352294921875,18.351939171552658
17-29-34,5.2,18.32420654296875,18.357138097286224
17-29-35,6.2,18.33046875,18.369142711162567
17-29-36,7.2,18.343939208984374,18.383237659931183
17-29-37,8.3,18.354852294921876,18.4019096493721
17-29-38,9.3,18.3706298828125,18.417645156383514
17-29-39,10.3,18.383526611328126,18.437405705451965
17-29-40,11.3,18.406591796875,18.45131081342697
17-29-41,12.3,18.416851806640626,18.472124874591827
17-29-42,13.3,18.43621826171875,18.492593467235565
17-29-43,14.4,18.458111572265626,18.51238864660263
17-29-44,15.4,18.47685546875,18.52594828605652
17-29-45,16.4,18.495855712890624,18.5458123087883
17-29-46,17.4,18.52437744140625,18.568042874336243
17-29-47,18.4,18.54158935546875,18.583554327487946
17-29-48,19.4,18.556927490234376,18.595576465129852
17-29-49,20.4,18.5822265625,18.616200268268585
17-29-50,21.5,18.60745849609375,18.630364060401917
17-29-51,22.5,18.623980712890624,18.63637512922287
17-29-52,23.5,18.642669677734375,18.649191677570343
17-29-53,24.5,18.66484375,18.66420203447342
17-29-54,25.5,18.6739013671875,18.677727043628693
17-29-55,26.5,18.67454833984375,18.69301402568817
17-29-56,27.6,18.685125732421874,18.706745982170105
17-29-57,28.6,18.696343994140626,18.72094440460205
17-29-58,29.6,18.701666259765624,18.727352678775787
17-29-59,30.6,18.70950927734375,18.734400153160095
17-30-00,31.6,18.724261474609374,18.738821983337402
17-30-01,32.6,18.735205078125,18.752036154270172
17-30-02,33.6,18.749090576171874,18.751587212085724
17-30-03,34.7,18.764141845703126,18.76497370004654
17-30-04,35.7,18.774462890625,18.78012216091156
17-30-05,36.7,18.7906005859375,18.803268134593964
17-30-06,37.7,18.80865478515625,18.81719034910202
