Timestamp (HH-MM-SS),Time (s),TSic AIN0 (°C)
00-59-37,3.1,18.64964187145233
00-59-40,6.1,18.649166226387024
00-59-43,9.1,18.637117942174275
00-59-46,12.1,18.63275647163391
00-59-49,15.1,18.629345178604126
00-59-52,18.1,18.61609637737274
00-59-55,21.1,18.60229516029358
00-59-58,24.2,18.59495437145233
01-00-01,27.2,18.587129592895508
01-00-04,30.2,18.573051750659943
01-00-07,33.2,18.565399706363678
01-00-10,36.2,18.55909490585327
01-00-13,39.2,18.55285894870758
01-00-16,42.3,18.54541426897049
01-00-19,45.3,18.54532790184021
01-00-22,48.3,18.54596710205078
01-00-25,51.3,18.546001732349396
01-00-28,54.3,18.5401291847229
01-00-31,57.3,18.539835453033447
01-00-34,60.3,18.53947287797928
01-00-37,63.4,18.539576768875122
01-00-40,66.4,18.5324604511261
01-00-43,69.4,18.53119957447052
01-00-46,72.4,18.525499761104584
01-00-49,75.4,18.512665688991547
01-00-52,78.4,18.49900257587433
01-00-55,81.4,18.492076098918915
01-00-58,84.5,18.485840141773224
01-01-01,87.5,18.47836083173752
01-01-04,90.5,18.478343725204468
01-01-07,93.5,18.477807998657227
01-01-10,96.5,18.47732400894165
01-01-13,99.5,18.477514266967773
01-01-16,102.5,18.471226572990417
01-01-19,105.5,18.463574528694153
01-01-22,108.6,18.45609563589096
01-01-25,111.6,18.449566781520844
01-01-28,114.6,18.44255393743515
01-01-31,117.6,18.44264030456543
01-01-34,120.6,18.44272667169571
01-01-37,123.6,18.44265741109848
01-01-40,126.7,18.44265741109848
01-01-43,129.7,18.43621450662613
01-01-46,132.7,18.428216993808746
01-01-49,135.7,18.421117782592773
01-01-52,138.7,18.41502034664154
01-01-55,141.7,18.40866380929947
01-01-58,144.7,18.40840470790863
01-02-01,147.8,18.408733069896698
01-02-04,150.8,18.40253174304962
01-02-07,153.8,18.39610594511032
01-02-10,156.8,18.388401746749878
01-02-14,159.8,18.381561636924744
01-02-17,162.8,18.37599951028824
01-02-20,165.8,18.375930666923523
01-02-23,168.8,18.368762612342834
01-02-26,171.9,18.36862450838089
01-02-29,174.9,18.36136966943741
01-02-32,177.9,18.353683412075043
01-02-35,180.9,18.346083104610443
01-02-38,183.9,18.34585863351822
01-02-41,186.9,18.339433252811432
01-02-44,189.9,18.339381515979767
01-02-47,193.0,18.339277625083923
01-02-50,196.0,18.340314030647278
01-02-53,199.0,18.340935707092285
01-02-56,202.0,18.341384649276733
01-02-59,205.0,18.341798961162567
01-03-02,208.0,18.34109091758728
01-03-05,211.0,18.340780079364777
01-03-08,214.1,18.33981293439865
01-03-11,217.1,18.33932936191559
01-03-14,220.1,18.339277625083923
01-03-17,223.1,18.33995145559311
01-03-20,226.1,18.33986508846283
01-03-23,229.1,18.34015840291977
01-03-26,232.1,18.34062486886978
01-03-29,235.2,18.340175926685333
01-03-32,238.2,18.340573132038116
01-03-35,241.2,18.34141969680786
01-03-38,244.2,18.341195225715637
01-03-41,247.2,18.340815126895905
01-03-44,250.3,18.33388864994049
01-03-47,253.3,18.333750545978546
01-03-50,256.3,18.332955718040466
01-03-53,259.3,18.33326655626297
01-03-56,262.3,18.333836495876312
01-03-59,265.3,18.34126365184784
01-04-02,268.3,18.341073393821716
01-04-05,271.4,18.34091818332672
01-04-08,274.4,18.34114307165146
01-04-11,277.4,18.34159243106842
01-04-14,280.4,18.340919017791748
01-04-17,283.4,18.34148895740509
01-04-20,286.4,18.33399212360382
01-04-23,289.4,18.327099859714508
01-04-26,292.5,18.318635880947113
01-04-29,295.5,18.31272828578949
01-04-32,298.5,18.30547386407852
01-04-35,301.5,18.306406795978546
01-04-38,304.5,18.30661416053772
01-04-41,307.5,18.30008488893509
01-04-44,310.5,18.29283046722412
01-04-47,313.6,18.286180198192596
01-04-50,316.6,18.280358970165253
01-04-53,319.6,18.27325975894928
01-04-56,322.6,18.273570597171783
01-04-59,325.6,18.273674070835114
01-05-02,328.6,18.280652284622192
01-05-05,331.6,18.280047714710236
01-05-08,334.7,18.280289709568024
01-05-11,337.7,18.28072154521942
01-05-14,340.7,18.280565917491913
01-05-17,343.7,18.272845029830933
01-05-20,346.7,18.27227509021759
01-05-23,349.7,18.271929621696472
01-05-26,352.7,18.271843254566193
01-05-29,355.8,18.27225798368454
